index,title,authors,college,department,abstract,keywords,pubdate
68,CORPORATION,"Alcantara, Michelle Joy B. Enguancho, Rhia Angelica S. Ferrer, Ainna S. Fortus, Kristine Faye E. Romasanta, Dana Krizca E. ",COLLEGE OF BUSINESS ADMINISTRATION,,,,September 2015
69,The Level of Awareness Among Third Year High School Students of Paliparan National High School on the Possible Dangers of using Facebook,Jenelle Lynwil M.  Torda,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,,,March 2012
70,HIMAGSIK: Incorporating Historical Readings of the Battle of Binakayan- Dalahican into a Strategy Board Game,"Cayetano, Jose Elmer Jr. S. ",COLLEGE OF FINE ARTS AND DESIGN,Bachelor of Multimedia Arts,"This study aimed to introduce board games as a viable interactive medium despite the Current digital landscape of gaming. While not a wholly lost art and medium, the understatement of board games and the factors in learning it made it a output to for. The topic itself of history was chosen as history education in the Philippines is in a state of neglect, producing citizens that shrug off history, its events, impacts, and importance today. The neglect of giving history importance allows for the spread of misinformation, recurrence of past mistakes, and abuse of power from those audiences.","Keywords: Board Game, Education, Gaming, History, Interactive",July 2022
71,"LAYAG: ALDASNDO, TRI-CITY FERRY SYSTEM: FOR A GREATER INTRA-REGIONAL CONNECTIVITY",VALMONTE VINCENT C. Sn. 2014-01337,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,,,November 2018
72,A Proposed Natural Disaster Preparedness Experiential Museum,Nichole Marielle B.  Jeciel,"COLLEGE OF ENGINEERING, COMPUTER STUDIES, AND ARCHITECTURE",Bachelor of Science in Architecture,,"Keywords: natural disasters, disaster preparedness, experiential museum, museum, design, experiential architect",September 2024
73,E-LIBRARY USAGE MONITORING SYSTEM AND KIOSK WITH SMART CARD ID APPLICATION FOR LYCEUM OF THE UNIVERSITY CAVITE “LyKIOSK”,LAWRENCE A. BENITEZ EMER NINO E. INTING MARK LEO B. JALANDONI JENNY G. ZULUETA,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"The purpose of the study was to develop a system entitled “E-Library Usage Monitoring System and Kiosk with Smart Card ID Application” or simply It aimed to provide an ease access and usage on the computer and internet services as well as to provide an efficient usage monitoring and records management for the E-Library. This system is beneficial to all LPU students, faculty members and especially to the staff of Academic Resource Center. In this study, the Rapid Application Development (RAD) was used in order to develop the system. The proponents conducted an evaluation and gathered some useful information. The result of the conducted study showed that the developed system is capable of giving statistical reports and records, and managing computer usage. Based on the evaluation results, the system was rated with high level of internal consistency by users and IT experts and it conforms to ISO 9126.","Keywords: Local area network, server, clients, kiosk, smart ID reader.",October 2013
74,,"By: Bantilan, John Chin M. Francisco, John Vincent T. Mitchell Cyril B. Grepo, Sherwin S. Guerrero, Christian J. ",COLLEGE OF BUSINESS ADMINISTRATION,,,,February 2020
75,CLOUDOSX: VIRTUAL SYSTEM AND IP PBX WITH IMPLEMENTATION OF PRIVATE CLOUD COMPUTING,KO YOUNG IL LIA G. BANDAHALA KRYSTELLE ANNE H. LOYOLA,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Computer Science,"Cloud computing gained a lot of attention over the last few years. The need for maintaining a large amount of data within an organization is a great concern together with the rapid changes in the technology. This project aimed to provide an infrastructure in a form of a virtual system that will accommodate the needs of small to medium scale businesses from its existing resources to its communication apprehensions that will revolve around the concept of private cloud computing. The purpose of this project is to give organizations and future researchers an idea that something can be created out of existing and available resources that will go with the rapid development of technology and will comply with legal standards. The development team created the system through the use of shell scripting together with the GUI mode which enable clients to load independent operating system different from other existing cloud computing approaches. The results of this study show that this kind of system will provide a good infrastructure in terms of mobility, scalability, and economic cost but will not jeopardize performance and consistency. It can be concluded that this system has the potential to be implemented in the industry which will be a great benefit to all organizations that will adapt a new cloud computing trend.","Keywords: Cloud Computing, Virtualization, IP PBX, IaaS, Private Cloud",March 2015
76,Plastic E-Waste as Partial Replacement to Coarse Aggregates in Production of Non-Load Bearing Concrete Hollow Blocks,Cris Noel B.  Pangulayan,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Civil Engineering,"replacement shown as the strength while for water absorption the 15% effective. The data also shown that the compressive strength and water absorption of most effective partial replacement was better than the conventional CHB. However, the conventional CHB had the lowest cost compared to different partial replacement. The researchers observed that the utilization of PEW as partial replacement was effective in production of CHB. most","Keywords: Plastic E-waste, Coarse Aggregate, Partial Replacement, Mixture",June 2023
77,ReDEAFining Architecture: A Deaf-centered Learning School Through Multisensory Design,Ma. Elline O.  Tutor,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,"approaching architecture that benefits all students, deaf or not.","Keywords: deaf design, universal design, inclusive education, deaf architecture, DeafSpace, multisensory design, inclusive school design",August 2024
78,Development of APL Corporate Garments Corporation Monitoring and Payroll System with Fingerprint Biometric Scanner,Parland Cadlaon,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,March 2013
79,,,COLLEGE OF FINE ARTS AND DESIGN,,"textile in the modern era of Philippine fashion. Handloom weaving is a significant tradition that embodies the spiritual beliefs of many indigenous tribes in the Philippines. In the modern era, most Filipinos generally follow popular fashion trends that are derived from foreign influences; therefore, many Filipinos are unaware of our locally and culturally made products and garments. This study is heavily reliant on the insights and answers of the expert participants. The researchers were able to interview Mr. Michael Angelo Yambok, head of the T’boli cluster of the NCCA Subcommission on Communities and Traditional Arts and the president of Lake Sebu’s Cultural Workers Association; Mr. Dante Mana, fashion designer and owner of Durante Clothing; and Mr. RL fashion designer and owner of Estelu by RL Omadle. Ultimately, the researchers concluded that the importance of the T’boli tribe’s T’nalak weave towards the modem era of Philippine fashion is that the indigenous textiles, specifically the Tnalak, possess a huge role in providing livelihoods to the T’boli community; cultural awareness in regards to the T’nalak textile and the traditions it is vital to conserving our Philippine indigenous heritage; and utilizing the T’nalak textile appropriately to modern attire helps in the promotion and recognition of the indigenous community.","Keywords: T’boli tribe, T’nalak, Indigenous textiles, Fashion Design, Modem Fashion",
80,BEHIND THE CAMERA: Video Documentary on the life of a,,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Multimedia Arts,nor be criticized on what they do. Respect the work of other.,"Keywords: Weddings, Wedding Videographer, Video Documentary",May 2019
81,KANLUNGAN: A PROPOSED SEA TURTLES RESEARCH CENTER AND MARINE LIFE HOSPITAL IN REGION IV-A (CALABARZON),"BELMI, BUTCH BRENON C. GONZALES JR. REYNALDO A. ","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,"The purpose of this study is to Propose a “Sea Turtles Research Center and Marine Life Hospital in Region IV-A that will enlighten people the importance of marine species especially marine turtles in the ecosystem and to promote conservation and protection of marine biodiversity, and also to engender cooperation among public and private sector and individuals in supporting worldwide mission “Rescue, Rehabilitation, and Release”. Since the site occupies only a small hectare from Lobo, Batangas, the project also aims to become one of the landmarks of the town, by providing inter-active facilities to and rehabilitate. protect","Keywords: Research center, sea turtle, rehabilitation",November 2018
82,CHICK N’ CO,"Mabingnay, Chrissy Nicole D. Porquez, Francis Ryan",COLLEGE OF BUSINESS ADMINISTRATION,Bachelor of Science in Business Administration,,,July 2023
83,TINY FOOTSTEPS LEARNING SCHOOL,"Barbon, Raechelle Encabo, Anne Fetalvero, Gelene May Ignaco, Gia llano, Rosselle Tapawan, Roan Camille Toledo, Alyza Marie",COLLEGE OF BUSINESS ADMINISTRATION,Bachelor of Science in Business Administration,,,October 2013
84,IMPROVED WATER SYSTEM USING GRAVIMETRIC AND NEU- TRALIZATION PROCESS IN ADDITION TO REVERSE OSMOSIS FILTRATION WITH ULTRA VIOLET LIGHTS,NEIL PATRICK HERRERA JOSHUA MALAJITO RUBERT JAMES NUESTRO,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Mechanical Engineering,"The concept of water recycling to augment water resources is not new. Water re- use can be split into planned and unplanned, direct and indirect, large scale and small scale. Considerable untapped potential exists for the promotion of water reuse schemes. Water recycling is a beautiful and convenient process. However, it is not well- accepted and well-known among the students of laboratory classes. Thus the proponents developed an improved water system using gravimetric and neutralization process in ad- dition to reverse osmosis filtration with ultraviolet lights. Input water consisting of oil and soap was used in the procedure. The process and testing yielded an oil-free and clear output water with acceptable pH level but cannot be drink. The operation time of this procedure is very appropriate in a three-hour laboratory time in classrooms.",,March 2015
85,"PHOTO AND VIDEO DOCUMENTARY OF HANDCRAFTED BONE SCULPTURE IN THE PROVINCE OF BINANGONAN, RIZAL",PAULA ANGELINE G. MORALES JARED R. YAUN,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Multimedia Arts,,,May 2018
86,THE DEVELOPMENT OF LYCEUM OF THE PHILIPPINES UNIVERSITY-CAVITE EQUIPMENT MONITORING SYSTEM USING RADIO FREQUENCY IDENTIFICATION,Loyd Darwin Leyva Jan Patrick Mangana Ken R.  Cadion Noveuhiro Due,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,,,March 2013
87,,,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,"The purpose of this research is to provide a system that manages the Smile Art Dental records and transactions. The system features include the Patient Information where users see patient details by the records, Service Details that shows the information of the services like name, address, contact and other transactions, Dental and Medical History that presents the new patients must complete form and their contact billing, Appointments that allows the user to arrange the visit or meet of the patient, Transactions that gives the user the diagnose and procedures to be used in all transaction, and generate Reports for transactions and treatments of patients. This was created using Visual Basic 2010 as frontend and as the backend. The project was improved using the tools such as for the functionality and conformance tests. The system was evaluated based on the ISO9126 criteria and garnered a grand mean of and an SD of “1.33” which interpreted as “Highly Acceptable. Through the evaluation performed, the system shows that this can be a helping tool in organizing the patient records and transactions in the Smile Art Dental Clinic.","Keywords: Smile Art Dental Patient Record System, Dental Management System",
88,ASSESSMENT OF THE EVENTS MANAGEMENT CLASS OF FOURTH YEAR CRUISE LINE STUDENTS IN LYCEUM OF THE PHILIPPINES UNIVERSITY — CAVITE FOR SEMESTER OF A.Y. 2011-2012,"Cheng, Cheska Mae L.  Gefiorga, Mark Kevin L.  Guerrero, Edmund V.  Hufana, Ray Stevens Maloles, Nika Misha T. ",COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor Of Science in Hotel and Restaurant Management,and weighted mean to describe the nature of each event and assessment of the event class. The researchers found out that the strength of the students lie in the preparation and questionnaire as their data collection instrument to ask specific question and gather information needed by the researchers. Two statistical techniques were used in the study: percentage to determine the socio-demographic profile of the Events Management class in the first semester of A.Y. 2011-2012 in Lyceum of the Philippines University,,March 2012
89,ILOG MARIA OF SILANG CAVITE AS AN AGRITOURISM VENUE,Syrelle Claire B.  Pangan,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,,,,
90,,,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,,"The purpose of this research is to determine the awareness and perception of travelers on the Air Passenger Bill of Rights. The demographic profile of the travelers, their sources of information of the Air Passenger Bill of Rights, the awareness and perception of travelers in terms of its application and importance we gathered. The descriptive method was used in the study and the project involves a survey questionnaire which was conducted to 100 travelers. The results of this study in terms of the profile of the participants is that most of the travelers were aged 26-40, female, and travel sometimes within the country and in terms of awareness of the travelers. Travelers are slightly aware of all the rights covered by the Air Passenger Bill of Rights. In terms of their perception in application they agreed that it is applied consistently and in terms of importance, they strongly agree that it is very helpful and can ensure their protection against the air carriers. Hence, it can be concluded that travelers are aware with the overall mean of 3.82 interpreted as moderately aware and perceived that it is applied consistently and is very helpful to ensure their protection. It is recommended to further enhance the awareness of the travelers on the bill of rights. The air carriers should post the rights to places that have potentials that can attract the awareness of the travelers. This study will lead future researchers as a source of additional facts, data, information and reference in their future research.","Keywords: Air Carrier, Air Passenger Bill of Rights, and Traveler",
91,"THE LEVEL OF SATISFACTION OF THE TOURISTS VISITING PEOPLE’S PARK IN THE SKY IN TAGAYTAY CITY, CAVITE",Aileen I.  Mapusao,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in Tourism Management,"the tourists vary depending on their demographic profile. Majority of the tourists were satisfied on the features or aspects of the attraction such as its souvenir shops, cleanliness, safety and security measures, recreational facilities, fees and services rendered. Among",,February 2012
92,PERCEPTION OF THE RESIDENTS OF AMADEO ON PAHIMIS FESTIVAL,Mae A.  Luna,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Travel and Tourism Management,"frequency counts, percentage and weighted mean to answer the objectives of the study. Results showed that majority of the respondents were around 18 — 25 years old with a percentage of 46.58%. Majority of the respondents in terms of gender were male with 59.24% while 40.76% were female and most the respondents have resided in Amadeo for 21 — 30 years",,October 2012
93,PERCEPTION OF TOURISTS VISITING PINK SISTERS’ CONVENT IN TAGAYTAY CITY ABOUT FAITH TOURISM,LENARD AXCEL A. BACOS CHRISTIAN JELO M. BASCO KENNETH ENZO S. MASICAP JOHN EROLL H. ROGUEL,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Travel and Tourism Management,"This study was conducted to examine the perception of tourists visiting Pink Sisters’ Convent in Tagaytay City about faith tourism. Tourism planners of Tagaytay City can help improve the marketing and promotion of the site. Likewise, the city government can promote a positive image for the convent. And for the tourism students, it is suggested that other religious sites in Tagaytay City should be conducted to support findings of the current study. Descriptive research design was used in this study. A convenience sample of 100 visitors of Pink Sisters’ Convent served as the participants of this study. A self-developed questionnaire was used to gather information from the participants. Descriptive statistical tools were used to answer the problems posed in this study. Results showed that participants came from varied age groups, education and occupation. Majority of the participants were female, residents of Cavite and had Filipino nationality. The primary motivations of the participants for visiting Pink Sisters’ Convent were to give intentions/wishes, to have more strength to face the problems of life, to pray and worship, to deepen their faith, to pray for health, job or family and to search for comfort and blessings. Findings revealed that religious, personal and social setting were experienced by the participants to “a great This suggests that participants had a very favorable experience with faith tourism.","Keywords: Perception, Tagaytay, Pink Sisters’ Convent, Faith tourism",October 2013
94,"SOLID WASTE AND SEGREGATION PRACTICES OF SELECTED FOOD SERVICE ESTABLISHMENTS IN TRECE MARTIRES CITY, CAVITE",Alvin Bersamina Victoriano L.  Bulabos Jr. John Kevin Satsatin Ralph Kelvin Tiangson Robinson Trinidad,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"The researchers started the study in November 2012 to determine the solid waste and segregation practices of selected food service establishments in Trece Martires City, Cavite, for the year 2012-2013 and the benefits they obtain in solid waste and segregation practices. Descriptive method was used in the study as their research design. The respondent of the study were fifty (50) employees in selected food service establishments in Trece Martires City.",,March 2013
95,“THE LEVEL OF IMPLEMENTATION OF CLIMATE CHANGE IN GENERAL TRIAS CAVITE STRATEGIC ACTION PLAN ON CLIMATE CHANGE IN GENERAL TRIAS CAVITE,Emil G. Agustino Lou Charmaine B. Javier Justine Gayle B. Lubang Claudine R. Santo JessicaMae G.  Tapan,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"The aim of the study it to determine the levels of implementation of strategic action plan on climate change in General Trias, Cavite and to determine the challenges encountered during the implementation of the action plan. Climate change is one of the major challenges of today's time and adds considerable stress to the societies and the environment. Climate change is defined as a change in the typical or average weather of a region. This could be a change in region's average annual rainfall or it could be a change in a city's average temperature for a given month or season. The National Framework on Climate Change was established to have a climate risk resilient community. This include the strategic action plan on climate change. The study used a",,March 2013
96,WORK-LIFE BALANCE OF FULL-TIME CITHM FACULTY MEMBERS OF OF THE PHILIPPINES UNIVERSITY CAVITE CAMPUS,"CAPANGPANGAN, KERSTIN LLOYD U. IDIO, KEVIN ALDRIN B. MATABERDE, LOUIE C. SUGATAN, JENZ ROLAND E. VENENCIANO, DAR ANGELO R.",COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"A research was undertaken to determine the work life balance of full-time CITHM faculty members in the Lyceum of the Philippines University Cavite Campus. Specifically, the study described the demographic characteristics of the respondents, determined the level of work life balance of the respondents in terms of having adequate income and fair compensation, having a safe, secure and healthy working conditions, having future opportunity for continued growth, having work and quality lifespace, having social relevance for work, having social integration in the work organization having constitutionalism in the work organization, and having opportunities to use and develop human capacities.",,March 2013
97,FACTORS AFFECTING THE ABILITY OF THE SELECTED CITHM STUDENTS USING THE ENGLISH LANGUAGE IN ORAL COMMUNICATION,"Gene Voltaire H. Castillo Ralph Lorenz S.  Castro, Maiko Jerina P. Javier Rickynette R. Sanchez Reiniel D.  Sayaman",COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"The researchers used a descriptive method of research and focused on the factors that affect selected CITHM students' ability to use the English language in communication. It is sought to address the demographic profiles in terms of age, gender, degree/course, and year level. It identifies the factors affecting the students' ability to use the English language and lastly the ways to improve the ability to use the English language in communication as preferred by the selected CITHM students. The factors affecting the students' ability to use the English language were categorized into two: self-factors and the external factors. Under the self-factors include self-confidence and anxiety while under the external factors include academic preparation, family and home environment, school and academic environment, and media and technology. The study was conducted during the second semester of the Academic Year 2012-2013 at Lyceum of the Philippines University - Cavite with three hundred (300) respondents from first to fourth year selected CITHM students only The respondents were identified through accidental sampling method. The sample size of",,March 2013
98,"READINESS OF BARANGAY LUMIPA, GENERAL AGUINALDO CAVITE IN THE DEVELOPMENT OF MALIBICLIBIC FALLS AS AN ECOTOURISM DESTINATION",Justine Angel P. Hoyar Grace Hyejin Kho Jermaine Valerie B.  Toledo,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Travel and Tourism Management,"The study entitled Readiness of Barangay Lumipa n the development of Malibiclibic Falls as a tourist attraction is a descriptive research that attempts to ascertain the readiness of the local community Barangay Lumipain the development of the Malibiclibic falls as a tourist attraction. The following objectives were stated to research study: to determine the profile of the respondents in terms of age, gender, civil status, type of occupation and educational attainment; to determine the respondent's attitude/perception towards tourism; to determine the participation of the respondents in past tourism programs; to determine the level of readiness of the respondents in the development of Malibiclibic falls as a ecotourism attraction. The scope of the study was the readiness of the local cimmunity including both residents and Barangay officials of Barangay Lumipa, whereas, the respondents of the studywere randomly selected local residents of Barangay Lumipa aged above 18 years old or voters. The researchers explored into the available tourism resources and the attitude/perception of the local residents towards the development of the attraction. Furthermore, the degree of readiness of the local community in the development of their mesmerizing attraction-Malibiclibic falls was also measured. Survey method was used as the main data gathering instrument of the study. Out of the 578 voters of the Barangay Lumipa, ",,October 2012
99,STUDY HABITS OF SELECTED FIRST YEAR BACHELOR OF SCIENCE IN INTERNATIONAL TRAVEL AND TOURISM MANAGEMENT STUDENTS IN LPU-CAVITE,"Catalan, Candy P. Collins, Elizabeth Y. Francia, Ariane S. Puga, Sarah Jhen M. ",COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in Hotel and Restaurant Management,"This study was conducted to find out the different factors that affect study habits of selected ITTM student's batch 2011-2012 of LPU Cavite. The study used descriptive method. Data were collected from 150 freshmen BSITTM students from College of International Tourism Management of LPU Cavite. The respondents were given 34 item questionnaires which was developed and validated by the researches to ask the factors that may affect their study habits. It aimed to (a) know the demographic profile of the respondents in terms of age, gender, status of the students and parents occupation, (b) reveal the factors that ffect their study habits and (c) to determine their study habits. Based on gathered data 1st year Bachelor of Science in International Travel and Tourism Management batch 2011-2012 , majority of the population of CITHM were females aged 15-16 years old, the fact that they are first year majority of them were regular students and their parents worked in the Philippines. The factors affecting the study habits are attributed to student factor, school factor, teacher factor, and environment factor. School and parent factors ranked as the highest, affect the students' study habits most compared to environment and teacher factors. The least factor affecting the students' study habits was the teacher factor.",,March 2012
100,LEVEL OF PARTICIPATION OF THE FACULTY MEMBERS OF LPU CAVITE IN THE 5S PROGRAM,Keith B. Bergonio Gemmalyn B. Buensuceso Angelle Christine B. Colos Katrina Mae T. Gonzales Cindy E.  Olaviaga,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in Travel and Tourism Management,"The researchers started the study last August 2012 to identify the LPU level of participation of the Faculty members of LPU - Cavite AY 2012-2013 and the benefts they got from the 5'S method as well as the challenges encountered during the implementation. Descriptive method was used in the study as their research design. The respondents of the said study are ninety-two (92) full-time faculty members who are currently employed in the different departments of LPU - Cavite and are currently part of the 5'S implementation of the institution. The content of the study was formulated by using the existing LPU - Cavite's 5'S program as a basis, articles and books about the subject. A survey questionnaire was formulated by the researchers to know the basic information that the study needs to assess. A 3 Point Liker",,October 2012
101,CHALLENGES ENCOUNTERED BY SELECTED HOSPITALITY INDUSTRY ON-THE-JOB TRAINEES OF LPU-CAVITE,John Davis S. Encina Lougene Angelo S.  Gallarde R-jay A. Obing Ma. Michelle D.  Valguna,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in Hotel and Restaurant Management,"The study is about the challenges encountered by selected hospitality ndustry on-the-job trainees of LPU-Cavite. The objective of the study is to assess the challenges encountered by selected on-the-job trainees of Hotel and Restaurant Management students in Lyceum of the Philippines University-Cavite. Specifically it aimed to determined the demographic profile of the respondents in terms of gender and venue of the practicuma and also to assess the physical, social and mental challenges encountered by the on-the-job trainees students The respondents of this study are the students under the college of International and Tourism Hospitality Management who are currently enrolled in their practicum course for the academic year of 2011-2012. Survey questionnaire is the instrument used in gathering data and it was designed to seek information in order to assess the challenges encountered during the on-the-job training of selected fourth year BSHRM students. The students utilized frequency and percentage distribution for statistical treatment . This study was conducted during the 2nd semester of the academic year 2011-2012 and was completed at March 2012.",,March 2012
102,"AN ASSESSMENT ON THE COMPETENCIES REQUIRED IN THE FOOD AND BEVERAGE SERVICE OPERATIONS AS PERCEIVED BY SELECTED YEAR CRUISE LINE STUDENTS OF LPU-CAVITE, FIRST SEMESTER, A.Y. 201 1-2012",Freddie Wayne V. Babela Daryl Dwayne C. De Leon Ariza C. Dolorido Gene Ber A. Egenias Dancarlo S. Mardo,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in Hotel and Restaurant Management,"This research is embedded n the idea of assessing the required competencies in the Food and Beverage Service Operations taking into account the preparation of 80 randomly selected 4th year students under the College of International Tourism and Hospitality Management, specifically those students under the program of Bachelor of Science in Hotel and Restaurant Management with Specialization in Cruise Line or what they call CL students. The researchers conducted this research to have a concrete idea of the competencies an individual must possess to enable him to provide an  excellent service in the Food and Beverage Service Industry. These competencies specified by the Technical Education and Skills Development Authority (TESDA) in their Food and Beverage Services National Certificate II, are the competencies that the researchers adopted as a basis for their survey questionnaires. A National Certificate (NC) is the name of an educational reward used to recognize a person who has attained a higher education qualification The researchers modified their survey questionnaire by referring to the evidence guide given in each competency standards of the NC II. Among the three (3) competency standards are: Basic Competencies, Common Competencies, and Core Competencies. The researchers focused only on the unit of competencies under the Core Competencies, wherein competencies in the Food and Beverage Service are highly specified. An exploratory method of research s used in the study. This method is used for the detailed inquiry that the researchers would like to accomplish. Data are gathered by conducting a",,October 2011
103,THE LIFE OF JOSE P. LAUREL: AN M-LEARNING APPLICATION,ROXANNE D. BIONG MARISHI H. ENOMOTO DOMINIQUE P. HALOG DINA KATRINA V. PANGANIBAN,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"The use of computing technology for learning has been observed in various ways but since the quick advancement of mobile technologies in recent years a new term has appeared - mobile learning. But with the fast upgrading technology of today, phones have been upgraded as the source of enjoyment and even learning. This study entitled the Jose P.  Laurel: an M-Learning Application is designed to serve as a handy and interactive reviewer for the students of Lyceum of the Philippines University-Cavite Campus taking up JPL subject. The subject JPL is about the life of and works of the founder of Lyceum of the Philippines University, Jose P. Laurel. This subject is taught by College of Arts and Sciences professors, and was usually thought to first year students This project also uses a Prototyping method because this type of methodology is used to test and try a new design to enhance and satisfy what the client wants. It is built using eclipse, an application used in the development of android mobile applications. The application contains the summarized chapters of the JPL book being used by the university. It also contain, other information compiled by the professors, photo and video clip of the life of Jose P. Laurel. Also, the students of Lyceum of the Philippines University can download the said application through the website created. Through these, a statistical interpretation was performed to demonstrate unbiased result. Overall, the computed result of the evaluation result has a grand mean of 4.58 with an interpretation of “strongly acceptable”.","Keywords: Mobile Learning, Application, Collaboration, Mobile Technology, Mobile Device, Android, Mobile Application, Lyceum of the Philippines, Jose Laurel",March 2014
104,IMPACT OF SCHOOL ACCREDITATION AS PERCEIVED BY CITHM FACULTY MEMBERS OF LYCEUM OF THE PHILIPPINES UNIVERSITY ~ CAVITE,Charmaine Joy Cabrera Deejay Critica Aubrey Javier Charnel Jongco Jeff Lester Poblete,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"The study aimed to determine the perception of CITHM faculty members of LPU - Cavite Campus on school accreditation and consequently determines its impact on three key areas. The study aimed first to determine the demographic profile of CITHM faculty members of LPU - Cavite Campus in terms of age, gender , faculty classification, educational attainment, and length of service at the university. The impact of school accreditation was also determined in areas such as: (1) Mission, Vision and Objectives; (2) Physical Facilities, Laboratories, and Library; and (3) Administration, Faculty and Staff. Descriptive research design was utilized in this study. A total of 23 willing faculty members served as respondents of this study. A survey instrument was utilized to gather the necessary information from the respondents. Decriptive statistics such as frequency count, percentage and weighted mean were utilized to answer the objectives of ",,March 2013
105,ATTRITION RATE OF CITHM A.Y. 2013-2014,JAMIE ROSE D. CRISOSTOMO MA. THERESA B. FLORES CAMILLE S. JONGCO FRANCE LOUIS I. TAMIO MARC ANTHONY P. TORREON,COLLEGE OF INTERNATIONAL TOURISM AND HOSPITALITY MANAGEMENT,Bachelor of Science in International Hospitality Management,"The purpose of this research entitled “Attrition Rate of CITHM A.Y. 2013-2014” aims to determine the profile of the participant’s age, gender, current course, previous course, year level, year level and semester of shifting, factors that affects the shifting of courses and who influenced the students to shift their course. The main research employed in the study is the Descriptive research method and survey questionnaires with students of CITHM who shifted their course during the academic year 2013-2014. Based from the results of the survey, majority of the participant’s age ranges from 18-19 years old revealed that there were more male participants than females. In addition, most of the participants are first year students who shifted during the first semester. And most of the participants still prioritize their personal choice more than other people’s opinion. The researchers recommend that the curriculum should be modified and avoid unnecessary subjects. The subjects inclusive with the program should be more focused about their particular course. The curriculum should focus more on hands-on training to improve the skills and abilities of students and to test what they are capable of.","Keywords: Attrition Rate, Career, Change, CITHM, Shifting",October 2014
